,install_date,platform,lt,installs,iap_revenue,ads_revenue
61,2021-05-01,ios,30,480,22.70722590308559,36.89260193913651
62,2021-05-01,android,31,922,40.42954183406711,101.43603735362228
63,2021-05-01,ios,31,462,56.1062653087402,36.96099092196255
64,2021-05-01,android,32,914,25.285443511477826,92.32144025775801
65,2021-05-01,ios,32,472,57.15112357590509,35.767593895070604
66,2021-05-01,android,33,917,83.89098412949075,116.40363047213611
67,2021-05-01,ios,33,459,67.7076209908054,40.755403913943155
68,2021-05-01,android,34,883,105.22675702930438,126.30508078660307
69,2021-05-01,ios,34,464,35.82548003387052,45.4078289357567
70,2021-05-01,android,35,814,86.71496380926882,127.39019461814712
71,2021-05-01,ios,35,430,25.889831834377823,43.94128194052064
72,2021-05-01,android,36,816,57.64921930391204,108.79647438809741
73,2021-05-01,ios,36,432,37.539070858786765,41.88087682315563
74,2021-05-01,android,37,805,25.399392085175514,75.34080424412923
75,2021-05-01,ios,37,407,14.351229445597829,24.74648997246004
76,2021-05-01,android,38,788,121.17356051961859,84.82884228249793
77,2021-05-01,ios,38,389,16.982245651541234,32.780225000021346
78,2021-05-01,android,39,775,27.044121083788397,73.87982114055035
79,2021-05-01,ios,39,379,0.0,32.379318083523685
80,2021-05-01,android,40,761,46.55166999414021,125.56516250805544
81,2021-05-01,ios,40,374,32.137561374578,32.38857195946548
82,2021-05-01,android,41,730,169.6816435684818,177.03173838248358
83,2021-05-01,ios,41,394,55.11208457792426,39.28979774200525
84,2021-05-01,android,42,686,147.37361904492164,197.42787460804357
85,2021-05-01,ios,42,379,50.450488420299884,43.083511807391915
86,2021-05-01,android,43,718,85.89622098527228,145.15411715953064
87,2021-05-01,ios,43,374,51.57533382647294,32.866221710221
88,2021-05-01,android,44,704,30.14414683618903,98.85818852710736
89,2021-05-01,ios,44,383,14.65638502726221,37.9211497909364
90,2021-05-01,android,45,676,83.64032820334285,139.18322540333247
91,2021-05-01,ios,45,367,12.465861434514641,45.69842794894794
92,2021-05-01,android,46,647,88.64923525394772,114.7724452584448
93,2021-05-01,ios,46,346,15.177477661910176,31.63444391023404
94,2021-05-01,android,47,647,34.14253513492054,68.9189302110658
95,2021-05-01,ios,47,357,16.277007209520757,27.728655947034895
96,2021-05-01,android,48,642,107.77594904067462,68.66370801029211
97,2021-05-01,ios,48,352,39.52709012758893,32.27618083325274
98,2021-05-01,android,49,661,71.05125680108966,73.74969008888843
99,2021-05-01,ios,49,343,13.97899976193905,30.236495876329172
100,2021-05-01,android,50,627,14.296995056523622,77.03318624925487
101,2021-05-01,ios,50,332,20.49912879920858,30.497436901643596
102,2021-05-01,android,51,605,66.29158793166215,84.55362207971439
103,2021-05-01,ios,51,346,14.141775081543326,35.19895478377839
104,2021-05-01,android,52,588,83.25133810335308,100.44468929728305
105,2021-05-01,ios,52,327,155.66696951934586,44.7391709081985
106,2021-05-01,android,53,568,30.471922212463973,95.98636427787187
107,2021-05-01,ios,53,319,74.17899873673916,37.45085200272388
108,2021-05-01,android,54,555,100.81185714785705,104.31349802516957
109,2021-05-01,ios,54,314,167.13443462834752,34.31019707016458
110,2021-05-01,android,55,547,86.2811380804984,117.22752203961647
111,2021-05-01,ios,55,314,53.534042416584555,46.82414293536567
112,2021-05-01,android,56,557,74.55258552996195,118.22425778969773
113,2021-05-01,ios,56,321,29.260940301689146,45.809520911168875
114,2021-05-01,android,57,556,30.090559467828456,79.0783231317746
115,2021-05-01,ios,57,322,7.2018009555873865,41.0144979172037
116,2021-05-01,android,58,553,50.85434417619324,90.1083658388452
117,2021-05-01,ios,58,307,40.94965471638739,46.44988384392127
118,2021-05-01,android,59,523,150.30147820315557,90.41180993408761
119,2021-05-01,ios,59,298,79.2807961180706,36.30776191413497
120,2021-05-01,android,60,514,15.83971150761056,88.91025402153036
121,2021-05-01,ios,60,296,0.0,31.368362929915747
122,2021-05-01,android,61,483,48.696636810616376,88.10528409547805
123,2021-05-01,ios,61,295,79.11747612136514,33.4762358687567
124,2021-05-01,android,62,525,78.93435089258594,72.97385780976492
125,2021-05-01,ios,62,291,38.030884584538285,26.135888891873037
126,2021-05-01,android,63,514,111.79404726615446,124.72800479915486
127,2021-05-01,ios,63,307,29.378999499678613,27.422401921034634
128,2021-05-01,android,64,498,139.86904637073303,134.67682002018773
129,2021-05-01,ios,64,303,65.88899231118887,36.81761202555117
130,2021-05-01,android,65,494,24.628177730458262,88.02181937332716
131,2021-05-01,ios,65,289,0.0,39.73692985378784
132,2021-05-01,android,66,473,16.040461428542375,108.38053511964472
133,2021-05-01,ios,66,289,5.709662769797325,45.608443798038934
134,2021-05-01,android,67,475,8.449357555915237,100.21447053449356
135,2021-05-01,ios,67,280,30.97708485363043,33.1003478739367
136,2021-05-01,android,68,465,25.23801787479812,85.83733223388447
137,2021-05-01,ios,68,283,40.293069136294605,31.580680797875175
138,2021-05-01,android,69,458,85.88394789216024,76.47544799078514
139,2021-05-01,ios,69,286,68.14813743475771,39.84199175080539
140,2021-05-01,android,70,456,88.19559648052979,118.28648565773028
141,2021-05-01,ios,70,275,26.75609400602776,25.775192909814905
142,2021-05-01,android,71,453,73.16824055346906,80.39992513387062
